"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K15980",0,3,0,13,0,0,1,0,0,1,0,0
"K15981",47,175,17,40,32,581,6,41,2,309,44,170
"K15982",24,169,12,25,29,323,7,34,1,298,31,143
"K15983",47,168,17,30,32,580,6,32,2,299,31,160
"K15984",289.23,711.11,153.73,916.56,135.56,219.46,300.93,444.12,301.43,596.09,272.27,541.78
"K15986",60.5,145,41.5,75.5,90.33,69.17,17,131,26,147,348.34,134.67
"K15987",882.5,1052.99,522,328.33,685,1908.33,731.33,288.66,654.33,359.5,173.5,1657
"K16011",53,196.33,62,53,129,9,656.5,159.33,15,124,31,48.5
"K16012",315.23,946.61,169.23,912.06,179.89,515.93,316.93,495.32,319.43,1209.09,458.61,739.95
"K16013",298.23,1078.61,154.23,910.06,170.89,561.93,312.93,539.32,323.43,1436.09,426.61,694.95
"K16014",688.9,128.2,345.6,107.4,413.6,1661.2,35,26.2,585,86.1,66.7,563.2
"K16023",0,2,0,20,0,2,0,18,0,6,26,6
"K16044",0,0.5,0,0,0.33,0.67,0,0,0,0,0,0.17
"K16045",1,151,3,0,6,48,4,6,0,283,5,1
"K16046",1,151,4,0,11,52,5,9,0,285,5,1
"K16047",24,165,12,25,29,323,7,34,1,298,31,115
"K16048",24,161,10,15,19,314,5,19,1,291,18,91
"K16049",24,307,10,15,19,362,6,25,1,531,18,92
"K16050",24,164,11,35,24,320,6,40,1,299,44,104
"K16051",23,14,7,35,13,268,1,31,1,14,39,110
"K16052",58.08,144.07,100.67,64.08,169.33,48.91,669.92,29.24,21.16,170,256.33,48.33
"K16053",486.56,381.92,147.9,211.27,110.88,221.84,329.34,547.08,121.34,294.09,136.05,233.63
"K16055",0,23,15,2,4,7,6,51,5,210,6,2
"K16066",252.73,612.61,113.73,840.56,90.56,182.96,288.93,369.12,296.43,541.09,136.77,467.78
"K16074",260.52,665.26,123,869.84,107.85,197.73,325.63,432.7,305.56,563.66,176.25,509.06
"K16076",13.91,79.89,74.34,37.41,20.16,22.07,30.59,20.73,15.32,55,64.66,21.16
"K16077",228.16,178.59,58.09,81.8,40.94,143.38,160.51,240.5,45.24,162.42,40.36,95.17
"K16078",0,0,0,0,0,0,0,0,0,5,0,0
"K16079",4,6,6,6,0,3,5,4,8,4,6,8
"K16081",0,14,0,0,0,0,0,0,0,0,0,0
"K16087",542.88,904.99,209.29,996.04,268.96,383.85,1141.1,710.18,382.37,729.84,230.38,637.72
"K16088",27.4,111.18,49.81,58.76,36.12,35.08,169.42,93.79,40.52,58.5,105.57,56.43
"K16089",267.39,686.59,153.07,864.89,102.39,240.62,313.6,401.28,306.92,577.42,180.93,495.93
"K16090",5.58,61.57,42.17,26.08,13.33,7.91,40.92,20.24,6.16,32.5,27.33,30.33
"K16091",13.33,432.94,56.92,743.58,46.45,39.66,94.43,116.36,231.66,373.75,61.91,365.83
"K16092",316.23,793.11,188.73,919.56,243.56,237.46,946.93,419.12,313.43,594.09,255.27,535.78
"K16118",14.5,0,0,0,0,0,0,2,0,0.5,8.5,0
"K16120",0,7,0,0,0,0,0,0,0,5,1,0
"K16121",0,7,0,0,0,0,0,0,0,5,1,0
