"CBN1.1"	"CBN10.1"	"CBN10.2"	"CBN11.1"	"CBN12.1"	"CBN13.1"	"CBN13.2"	"CBN17.1"	"CBN6.2"	"CBN7.1"	"CBN9.2"
"K01044"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K03927"	8.20135978545243e-05	0.000302173662384548	0.000882330464022454	0.000937253704637276	0.000717078022715181	0.000318266632551812	0.000246716769149017	0	0.0010550125757499	0	0.000325541438712303
"K00994"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K06066"	0	0	0	2.13012205599381e-05	0	0	0	0	0	0	0
"K02219"	0	0	0	0	0	0	9.48910650573142e-06	0	0	0	0
"K05028"	0	0	0	7.10040685331269e-06	2.31315491198446e-05	0	0	0	0	0	0
"K04646"	0	0	0	1.42008137066254e-05	2.31315491198446e-05	0	0	0	0	0	0
"K12604"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K12580"	0	0	0	0	2.31315491198446e-05	0	0	0	0	0	0
"K07380"	0	0	0	0	3.46973236797668e-05	0	0	0	0	0	0
"K08133"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K06237"	0	0	0	2.84016274132508e-05	0	0	0	0	5.06406036359953e-05	0	0
"K02259"	0	0	0	2.13012205599381e-05	0	0	0	0	0	0	0
"K02256"	0	0	0	0.000127807323359629	0	0	0	0	0	0	0
"K02261"	0	0	0	3.55020342665635e-05	0	0	0	0	0	0	0
"K02262"	0	0	0	0.00010650610279969	0	0	0.000389053366734988	0	0	0	0
